,smiles
0,CC1=CN=C2N1C=CN=C2NCC1=CC=NC=C1
1,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
2,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC
3,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
4,[H][C@@](C)(NC1=CC2=C(C=N1)C(C)=NN2C1=CC=CC(CCC(N)=O)=C1)C1=CC=CC=C1
5,[H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C
6,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
7,NCCCCCC(O)=O
8,FC(F)OC(F)(F)C(F)Cl
9,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
10,CNC1(CCCCC1=O)C1=CC=CC=C1Cl
11,[H][C@@]1(CC(N)=O)CCCC2=C1C1=C(S2)N=C(NC1=O)C(=O)NCC1=CC=C2OCC(=O)NC2=C1
12,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
13,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
14,CC1=CC(=O)C2=CC=CC=C2C1=O
15,CN\C(NCC1=CC=CC=C1)=N/C
16,[H][C@@](CO)(N=C(O)CCN=C(O)CBr)C(O)=NCCC1=CC=C(C=C1)N=C(O)C(O)=O
17,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(Cl)[NH+]=CN=C23)[C@]([H])(O)[C@]1([H])O
18,CCOC(=O)N1C=CN(C)C1=S
19,[H][C@@](CC1=CC=CC=C1)(N=C(O)CCC(O)=O)C(O)=N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)C(O)=NCCCCC
20,CCCC[Sn](CCCC)CCCC
21,C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1
22,[H][C@@](C)(\N=C\C1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O
23,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
24,CN1CCN(CC1)C1=C(C\N=N/C(N)=S)C=CC=C1
25,[H]N1C=C(C2=CC=CC=C12)C1=C(C(=O)N([H])C1=O)C1=CN(CC[C@@H]2CCCN2C)C2=CC=CC=C12
26,CC(C)C1=CN\C(S1)=N\C(=O)CC1=CC=CN=C1
27,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
28,[H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1
